site,Site,rater,Case 1,Case 2,Case 3,Case 4,Case 5,Case 6,Case 7,Case 8,Case 9,Case 10,Case 11,Case 12
Consensus,Consensus,GOLD,9,9,7,7,10,4,7,9,5,9,6,3
Centre 1,Centre 1,R1,9,9,6,7,9,1,5,9,7,9,7,1
Centre 1,Centre 1,R2,10,9,8,8,10,5,8,9,7,10,6,2
Centre 1,Centre 1,R3,9,9,7,6,10,5,7,9,8,9,7,4
Centre 1,Centre 1,R4,9,9,8,8,10,6,7,9,6,10,7,5
Centre 1,Centre 1,R5,9,8,7,7,10,5,8,9,9,10,9,3
Centre 1,Centre 1,R6,9,8,9,8,10,5,8,9,8,10,6,3
Centre 1,Centre 1,R7,9,8,6,6,10,5,6,9,3,9,6,4
Centre 1,Centre 1,R8,9,8,7,7,10,5,6,9,7,9,8,3
Centre 1,Centre 1,R9,9,9,8,7,10,3,7,9,4,9,6,4
Centre 2,Centre 2,R1,9,9,9,8,10,4,9,8,7,9,6,4
Centre 2,Centre 2,R2,7,8,8,8,8,7,7,8,7,9,5,5
Centre 2,Centre 2,R3,10,9,8,6,10,5,6,9,7,9,4,5
Centre 2,Centre 2,R4,9,9,7,7,10,5,9,9,2,8,9,5
Centre 3,Centre 3,R1,10,9,6,6,10,6,9,9,9,8,6,8
Centre 3,Centre 3,R2,10,10,7,7,10,6,8,9,7,8,6,7
Centre 4,Centre 4,R1,9,8,6,5,10,5,7,9,8,10,8,5
Centre 4,Centre 4,R2,9,8,6,5,8,0,9,9,5,7,6,0
Centre 5,Centre 5,R1,9,9,8,8,10,5,5,9,6,9,7,4
Centre 5,Centre 5,R2,9,9,5,4,10,0,5,8,0,8,7,0
Centre 5,Centre 5,R3,9,8,6,7,8,2,8,9,2,9,5,4
Centre 5,Centre 5,R4,9,8,5,7,10,5,7,9,5,8,9,4
Centre 6,Centre 6,R1,7,7,5,7,8,4,7,9,3,8,7,3
Centre 6,Centre 6,R2,10,8,6,6,10,3,7,9,4,8,6,1
Centre 7,Centre 7,R1,9,9,6,7,10,6,9,9,7,8,8,6
Centre 7,Centre 7,R2,9,9,6,7,10,6,8,9,6,9,8,6
Centre 7,Centre 7,R3,9,9,7,7,10,6,8,9,7,8,8,7
Centre 8,Centre 8,R1,9,8,8,7,10,8,9,10,9,6,9,8
Centre 8,Centre 8,R2,9,9,8,7,10,6,10,10,9,5,8,7
Centre 9,Centre 9,R1,9,8,8,7,10,6,10,9,6,10,8,1
Centre 9,Centre 9,R2,10,9,8,7,10,3,7,9,8,9,6,5
Centre 10,Centre 10,R1,10,9,6,6,10,1,7,9,7,9,9,7
Centre 10,Centre 10,R2,10,9,6,6,10,4,7,9,6,9,7,7
Centre 11,Centre 11,R1,8,9,6,7,10,4,6,8,4,8,4,4
Centre 12,Centre 12,R1,9,8,6,8,10,7,10,9,7,9,9,3
Centre 13,Centre 13,R1,9,9,6,8,10,5,8,9,6,9,9,3
Centre 14,Centre 14,R1,9,8,6,7,10,2,8,9,8,9,9,0
Centre 14,Centre 14,R2,9,9,7,8,10,9,8,9,5,9,9,4
Centre 14,Centre 14,R3,9,9,4,6,10,0,7,9,4,9,7,3
Centre 14,Centre 14,R4,9,8,7,6,9,3,6,9,2,9,5,3
Centre 14,Centre 14,R5,9,10,10,5,10,5,6,10,5,8,5,7
Centre 14,Centre 14,R6,9,9,6,7,10,5,9,9,8,9,9,3
Centre 14,Centre 14,R7,9,9,9,9,9,6,4,9,8,9,8,5
Centre 15,Centre 15,R1,8,8,7,8,9,4,8,9,7,9,5,2
Centre 15,Centre 15,R2,8,8,7,8,8,7,8,9,6,10,4,0
Centre 15,Centre 15,R3,8,8,7,8,9,6,8,9,6,9,6,0
Centre 15,Centre 15,R4,8,9,7,8,10,7,7,9,8,8,6,2
Centre 15,Centre 15,R5,8,8,7,8,9,7,8,9,8,9,8,3
Centre 15,Centre 15,R6,8,8,7,8,9,7,8,9,8,9,8,3
Centre 16,Centre 16,R1,9,9,8,7,10,5,8,9,9,10,4,4
Centre 16,Centre 16,R2,9,8,7,6,10,5,7,9,7,9,8,0
Centre 16,Centre 16,R3,9,8,7,7,10,5,10,9,7,8,9,3
Centre 17,Centre 17,R1,8,9,6,7,8,4,7,9,5,10,6,3
Centre 17,Centre 17,R2,9,9,7,7,8,4,6,9,5,10,4,5
Centre 17,Centre 17,R3,8,9,7,7,8,6,7,9,9,9,6,5
Centre 17,Centre 17,R4,9,9,7,7,7,6,5,9,9,9,4,6
Centre 18,Centre 18,R1,8,9,8,5,9,4,9,8,5,9,5,3
Centre 18,Centre 18,R2,9,9,7,6,10,7,8,9,4,9,8,3
Centre 18,Centre 18,R3,9,8,7,6,10,6,7,9,5,9,5,4
